电影名,英文名,又名,导演/主演,年份/国别/类型,评论人数,评分
致命魔术,/?The Prestige,/?顶尖对决(台)  /  死亡魔法(港),导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 休·杰克曼 Hugh Jackman...,2006?/?美国 英国?/?剧情 悬疑 惊悚,409355人评价,8.8
天使爱美丽,/?Le fabuleux destin d'Amélie Poulain,/?艾蜜莉的异想世界(台)  /  天使艾米莉,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet???主演: 奥黛丽·塔图 Audrey Tau...,2001?/?法国 德国?/?喜剧 爱情,560499人评价,8.7
本杰明·巴顿奇事,/?The Curious Case of Benjamin Button,/?奇幻逆缘(港)  /  返老还童,导演: 大卫·芬奇 David Fincher???主演: 凯特·布兰切特 Cate Blanchett / ...,2008?/?美国?/?剧情 爱情 奇幻,465569人评价,8.8
西西里的美丽传说,/?Malèna,/?真爱伴我行(台)  /  玛莲娜,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 莫妮卡·贝鲁奇 Monica ...,2000?/?意大利 美国?/?剧情 战争 情色,430785人评价,8.8
黑客帝国,/?The Matrix,/?廿二世纪杀人网络(港)  /  骇客任务(台),导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski???主...,1999?/?美国 澳大利亚?/?动作 科幻,340438人评价,8.9
音乐之声,/?The Sound of Music,/?仙乐飘飘处处闻(港)  /  真善美(台),导演: Robert Wise???主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,1965?/?美国?/?剧情 传记 爱情 歌舞,274010人评价,8.9
让子弹飞,/?让子弹飞一会儿  /  火烧云,/?雷霆救兵(港)  /  抢救雷恩大兵(台),导演: 姜文 Wen Jiang???主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010?/?中国大陆 香港?/?剧情 喜剧 动作 西部,756280人评价,8.7
拯救大兵瑞恩,/?Saving Private Ryan,/?佈局(台)  /  死无对证(港),导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 汤姆·汉克斯 Tom Hanks...,1998?/?美国?/?剧情 历史 战争,291408人评价,8.9
看不见的客人,/?Contratiempo,/?黑色追緝令(台)  /  危险人物(港),导演: 奥里奥尔·保罗 Oriol Paulo???主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016?/?西班牙?/?剧情 犯罪 悬疑 惊悚,450688人评价,8.7
低俗小说,/?Pulp Fiction,/?惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),导演: 昆汀·塔伦蒂诺 Quentin Tarantino???主演: 约翰·特拉沃尔塔 John Tra...,1994?/?美国?/?剧情 喜剧 犯罪,400305人评价,8.8
勇敢的心,/?Braveheart,/?幻海奇缘(港)  /  剪刀手爱德华,导演: 梅尔·吉布森 Mel Gibson???主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995?/?美国?/?动作 传记 剧情 历史 战争,336373人评价,8.8
剪刀手爱德华,/?Edward Scissorhands,/?末代皇帝溥仪(港),导演: Tim Burton???主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,1990?/?美国?/?剧情 奇幻 爱情,566324人评价,8.7
沉默的羔羊,/?The Silence of the Lambs,/?沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme???主演: 朱迪·福斯特 Jodie Foster / 安...,1991?/?美国?/?剧情 犯罪 惊悚,411292人评价,8.8
大闹天宫,/?大闹天宫 上下集  /  The Monkey King,/?蝴蝶效应,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang???主演: 邱岳峰 Yuefeng Qiu /...,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆)?/?中国大陆?/?动画 奇幻,130451人评价,9.3
蝴蝶效应,/?The Butterfly Effect,/?一起快乐  /  Happy Together,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber???主...,2004?/?美国 加拿大?/?剧情 悬疑 科幻 惊悚,449806人评价,8.7
春光乍泄,/?春光乍洩,/?礼仪师之奏鸣曲(港)  /  礼仪师(台),导演: 王家卫 Kar Wai Wong???主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997?/?香港 日本 韩国?/?剧情 爱情 同性,295153人评价,8.8
入殓师,/?おくりびと,/?骄阳似我(港)  /  心灵捕手,导演: 泷田洋二郎 Y?jir? Takita???主演: 本木雅弘 Masahiro Motoki / ...,2008?/?日本?/?剧情,356118人评价,8.8
心灵捕手,/?Good Will Hunting,/?哈利波特1：神秘的魔法石(港 / 台),导演: 格斯·范·桑特 Gus Van Sant???主演: 马特·达蒙 Matt Damon / 罗宾·...,1997?/?美国?/?剧情,325418人评价,8.8
哈利·波特与魔法石,/?Harry Potter and the Sorcerer's Stone,/?巧克力情缘(台)  /  同是天涯寂寞客,导演: Chris Columbus???主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001?/?美国 英国?/?奇幻 冒险,329617人评价,8.8
玛丽和马克思,/?Mary and Max,/?布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),导演: 亚当·艾略特 Adam Elliot???主演: 托妮·科莱特 Toni Collette / 菲利...,2009?/?澳大利亚?/?剧情 动画,258625人评价,8.9
阳光灿烂的日子,/?In the Heat of the Sun,/?不赦岛(港)  /  隔离岛(台),导演: 姜文 Wen Jiang???主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994?/?中国大陆 香港?/?剧情,320971人评价,8.8
布达佩斯大饭店,/?The Grand Budapest Hotel,/?逍遥法外  /  神鬼交锋(台),导演: 韦斯·安德森 Wes Anderson???主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014?/?美国 德国 英国?/?剧情 喜剧 冒险,389277人评价,8.8
禁闭岛,/?Shutter Island,/?魔法公主  /  幽灵少女,导演: Martin Scorsese???主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010?/?美国?/?剧情 悬疑 惊悚,429307人评价,8.7
猫鼠游戏,/?Catch Me If You Can,/?灵异第六感  /  鬼眼,导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 莱昂纳多·迪卡普里奥 L...,2002?/?美国 加拿大?/?传记 犯罪 剧情,288799人评价,8.8
幽灵公主,/?もののけ姫,/?Chungking Express,导演: 宫崎骏 Hayao Miyazaki???主演: 松田洋治 Y?ji Matsuda / 石田百合...,1997?/?日本?/?动画 奇幻 冒险,274377人评价,8.8
第六感,/?The Sixth Sense,/?谎言的烙印(台)  /  诬网(港),导演: M·奈特·沙马兰 M. Night Shyamalan???主演: 布鲁斯·威利斯 Bruce Wi...,1999?/?美国?/?剧情 悬疑 惊悚,274096人评价,8.8
重庆森林,/?重慶森林,/?杀人游戏  /  致命身份,导演: 王家卫 Kar Wai Wong???主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994?/?香港?/?剧情 爱情,390604人评价,8.7
狩猎,/?Jagten,/?断臂山  /  BBM,导演: 托马斯·温特伯格 Thomas Vinterberg???主演: 麦斯·米科尔森 Mads Mik...,2012?/?丹麦 瑞典?/?剧情,160458人评价,9.1
致命ID,/?Identity,/?穿条纹衣服的男孩  /  穿条纹衣的男孩,导演: James Mangold???主演: John Cusack / Ray Liotta / Amanda Peet,2003?/?美国?/?剧情 悬疑 惊悚,376445人评价,8.7
断背山,/?Brokeback Mountain,/?大鱼奇缘(港)  /  大智若鱼(台),导演: 李安 Ang Lee???主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005?/?美国 加拿大?/?剧情 爱情 同性 家庭,374442人评价,8.7
穿条纹睡衣的男孩,/?The Boy in the Striped Pajamas,/?加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),导演: 马克·赫门 Mark Herman???主演: 阿沙·巴特菲尔德 Asa Butterfield / ...,2008?/?英国 美国?/?剧情 战争,186832人评价,8.9
大鱼,/?Big Fish,/?天神下凡(港)  /  化身,导演: 蒂姆·波顿 Tim Burton???主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,2003?/?美国?/?剧情 家庭 奇幻 冒险,293784人评价,8.7
射雕英雄传之东成西就,/?射鵰英雄傳之東成西就,/?东成西就  /  大英雄 (日本),导演: 刘镇伟 Jeffrey Lau???主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993?/?香港?/?喜剧 古装,319321人评价,8.7
摩登时代,/?Modern Times,"/?The Masses  /  Temps modernes, Les",导演: 查理·卓别林 Charles Chaplin???主演: 查理·卓别林 Charles Chaplin ...,1936?/?美国?/?喜剧 剧情 爱情,110502人评价,9.2
阳光姐妹淘,/???,/?阳光姊妹淘(港)  /  桑尼,导演: 姜炯哲 Hyeong-Cheol Kang???主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011?/?韩国?/?剧情 喜剧,313969人评价,8.8
上帝之城,/?Cidade de Deus,/?无主之城 (港)  /  无法无天 (台),导演: Kátia Lund / Fernando Meirelles???主演: Alexandre Rodrigues / Lea...,2002?/?巴西 法国?/?犯罪 剧情,176168人评价,8.9
爱在黎明破晓前,/?Before Sunrise,/?情留半天(港)  /  爱在黎明破晓时(台),导演: 理查德·林克莱特 Richard Linklater???主演: 伊桑·霍克 Ethan Hawke ...,1995?/?美国 奥地利 瑞士?/?剧情 爱情,261561人评价,8.7
消失的爱人,/?Gone Girl,/?失踪的女孩  /  失踪女孩,导演: 大卫·芬奇 David Fincher???主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014?/?美国?/?剧情 犯罪 悬疑 惊悚,423346人评价,8.7
侧耳倾听,/?耳をすませば,/?心之谷  /  梦幻街少女,导演: 近藤喜文 Yoshifumi Kondo???主演: 本名阳子 Youko Honna / 小林桂树 K...,1995?/?日本?/?剧情 爱情 动画,202695人评价,8.8
风之谷,/?風の谷のナウシカ,/?风谷少女  /  Kaze no tani no Naushika,导演: 宫崎骏 Hayao Miyazaki???主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984?/?日本?/?动画 奇幻 冒险,203501人评价,8.8
爱在日落黄昏时,/?Before Sunset,/?日落巴黎(港)  /  爱在日落巴黎时(台),导演: 理查德·林克莱特 Richard Linklater???主演: 伊桑·霍克 Ethan Hawke ...,2004?/?美国?/?剧情 爱情,231564人评价,8.8
